Application Status,Merit Score,Domicile,Province,Admission Test,SSC,Terminal Degree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Optional Subject 6,Document Verified,English Marks,Offered
Application Fee Received,810,Bahawalpur,Punjab,71,791,744,159,110,43,132,138,32,0,0,No
Application Fee Received,999.545,Bahawalpur,Punjab,78,779,926,154,174,175,44,184,48,0,0,No
Application Fee Received,1010,Bahawalpur,Punjab,63,882,957,177,0,169,0,0,0,0,0,No
Challan Printed,747,Bahawalpur,Punjab,64,776,648,105,96,40,117,42,109,0,0,No
Admission Fee Challan Received,1051.636,Bahawalpur,Punjab,82,887,974,166,48,46,187,193,174,1,0,Yes
Application Fee Received,973.636,Bahawalpur,Punjab,67,958,911,165,175,169,172,0,0,0,0,No
Application Fee Received,879.636,Bahawalpur,Punjab,53,763,836,138,42,158,44,158,149,0,0,No
Application Fee Received,1067,Bahawalpur,Punjab,79,892,993,193,0,195,0,190,0,1,0,Yes
Application Fee Received,980.182,Bahawalpur,Punjab,76,875,914,164,169,47,151,45,169,0,0,No
Application Fee Received,1024.818,Bahawalpur,Punjab,49,943,980,186,175,84,47,175,47,1,0,No
